NumLights,TT_ShadeShadow,TT_ShadeOnly,SN_ShadeShadow,SN_ShadowOnly,SN_ShadeOnly
10,130,117,43,42,27
30,382,327,93,79,42
50,614,540,145,112,58
70,838,746,193,173,75
90,1092,965,245,187,90
150,1888,1631,394,298,139
200,2525,2259,512,392,182
250,3195,2794,629,484,222
