distribution:  CLEAR
sun elevation: 45
sun azimuth:   320
sample points: 200

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

321,45,0.000455462
319,40,0.00123018
314,44,0.000987639
326,42,0.00110776
317,47,0.00106393
322,48,0.000890498
320,42,0.000596708
325,45,0.000965326
323,40,0.00087021
316,41,0.00125152
318,44,0.000468677
322,41,0.000518777
322,44,0.000439913
323,47,0.000787012
315,45,0.00112174
318,42,0.000691923
324,42,0.000418618
319,47,0.000454724
324,44,0.0005323
316,44,0.000612417
320,44,0.000457251
321,47,0.0004279
323,45,0.000427399
319,45,0.000573063
321,40,0.000619846
322,42,0.000432842
323,41,0.000599377
320,48,0.000624231
315,34,0.0027101
325,34,0.00220601
309,38,0.00227094
329,38,0.00164621
308,42,0.00238358
331,42,0.0022618
320,34,0.0022512
316,51,0.00151438
311,48,0.00204834
328,48,0.00181672
325,51,0.00167657
317,37,0.00131633
309,45,0.00185623
325,37,0.00146206
314,37,0.00187754
320,51,0.00151477
329,45,0.00229222
321,37,0.00136735
312,41,0.00135778
327,40,0.00127526
328,35,0.0019467
329,41,0.00126166
313,50,0.00144356
318,50,0.000879068
327,50,0.001316
310,44,0.00108187
313,40,0.00123354
319,35,0.000903532
317,24,0.00409425
328,25,0.00499377
307,28,0.00330951
336,32,0.0046304
303,34,0.00436726
339,45,0.00497996
339,38,0.00424541
322,28,0.00271194
301,41,0.00527908
304,51,0.00329655
314,28,0.00272677
331,30,0.00419564
336,50,0.00409451
331,54,0.00371519
309,32,0.00271505
302,47,0.00412989
314,55,0.00258847
321,55,0.0036239
322,24,0.00327274
326,30,0.00260762
333,35,0.00267446
304,38,0.00254889
318,30,0.00270208
334,40,0.00246601
312,25,0.0045189
306,35,0.00177102
305,31,0.00294816
309,54,0.00279699
330,8,0.00687506
310,8,0.00632534
341,18,0.00555218
298,18,0.00735724
320,12,0.00559857
348,30,0.00492631
291,35,0.00822527
307,17,0.00606403
294,27,0.0087547
350,41,0.00613756
330,17,0.00562734
290,45,0.00767307
347,52,0.00591271
339,25,0.00533987
337,12,0.00598015
329,61,0.00577453
315,17,0.00640524
301,24,0.00578906
298,57,0.00608764
304,11,0.00600416
345,35,0.00483441
345,24,0.00547838
335,19,0.00463344
293,51,0.00580514
323,18,0.00500698
311,61,0.00659021
349,47,0.00500373
320,7,0.00619923
340,57,0.00512076
3,7,0.00766457
277,7,0.00980977
6,24,0.00876574
275,24,0.0102042
292,1,0.00320376
348,1,0.00289647
274,40,0.0113988
6,37,0.0114278
355,15,0.00722619
285,17,0.00822001
274,51,0.01146
5,48,0.0114439
320,71,0.0122568
358,63,0.0136862
287,65,0.0130601
338,1,0.00406498
302,1,0.00403885
294,9,0.00705242
281,31,0.00768768
345,9,0.00704823
356,25,0.00626794
5,15,0.00772412
285,8,0.00629978
274,15,0.00778973
355,7,0.00599669
356,34,0.00592357
326,1,0.00329488
342,68,0.00855527
313,1,0.00329174
223,21,0.00687294
59,24,0.00693739
34,7,0.00898031
247,4,0.00760702
231,48,0.00783415
49,54,0.00724803
195,18,0.00879103
87,18,0.00665717
249,28,0.0107015
34,31,0.0111726
214,80,0.00875001
57,77,0.00888746
140,19,0.0146058
163,19,0.0130708
117,19,0.0139756
228,4,0.00724202
245,64,0.0107799
179,12,0.0126687
210,9,0.00999052
82,2,0.00563051
22,18,0.0122128
19,2,0.00674787
258,15,0.0135885
72,14,0.0102967
254,44,0.0111967
49,12,0.0138939
100,9,0.0105833
238,17,0.008671
29,45,0.0111518
132,54,0.00451669
184,48,0.00456144
90,45,0.00544596
155,40,0.00426908
208,37,0.00494443
166,65,0.00401306
114,38,0.00540716
99,64,0.00473094
179,31,0.00543435
208,60,0.00513339
66,41,0.00581166
135,35,0.0050708
98,30,0.00672897
128,77,0.00510945
76,28,0.00609868
75,57,0.0047197
228,34,0.00728613
51,35,0.00681982
109,51,0.00394261
160,52,0.00393479
208,22,0.00518308
194,31,0.00467953
152,27,0.00518152
203,48,0.00425006
171,41,0.00353483
128,25,0.00502433
135,65,0.00340448
55,65,0.00623283
194,70,0.0041389
