distribution:  CLEAR
sun elevation: 45
sun azimuth:   335
sample points: 500

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

335,45,0.000462268
331,41,0.000395717
339,41,0.000398243
340,44,0.000400659
330,44,0.000408152
332,47,0.000454935
335,41,0.000412839
338,47,0.00047275
333,42,0.000429782
337,42,0.000425532
334,44,0.000453261
339,45,0.000408074
331,45,0.000416231
339,42,0.000407746
331,42,0.000414061
335,42,0.000434708
334,47,0.000472251
336,47,0.000630827
338,44,0.000425598
336,44,0.000448536
332,44,0.00043304
337,45,0.00043536
333,45,0.000444165
333,41,0.000407759
337,41,0.000409234
334,34,0.000688165
343,37,0.000546131
325,40,0.000715377
346,44,0.0007555
336,51,0.000638515
324,44,0.000737803
330,37,0.000427899
342,50,0.000499554
337,37,0.000436844
326,48,0.000774109
345,40,0.000632703
344,47,0.000510486
331,50,0.00061109
334,37,0.000435999
337,34,0.000620583
340,35,0.00063473
341,40,0.000549304
327,42,0.000372912
343,42,0.000365805
328,40,0.000542985
327,45,0.000365636
339,38,0.000553762
335,38,0.000564911
331,38,0.000554859
338,50,0.000508569
326,38,0.000753971
331,35,0.000517361
339,48,0.000564747
344,38,0.000586465
338,40,0.000440329
333,48,0.000586357
334,40,0.000453811
336,35,0.000346999
325,47,0.0005844
344,41,0.000474255
344,45,0.000358881
344,48,0.000594489
325,41,0.000493117
345,42,0.000645673
329,42,0.000393983
341,42,0.000386987
326,42,0.000491502
339,37,0.000364477
328,37,0.000698723
332,37,0.000374006
341,37,0.000545098
335,37,0.000376054
340,47,0.000418591
342,47,0.00042688
330,47,0.000570242
327,47,0.000415109
326,44,0.000360623
342,44,0.000376595
344,44,0.000353913
328,44,0.000383734
334,51,0.000670687
335,35,0.000347888
329,35,0.000640242
333,35,0.000408288
338,35,0.000383298
333,50,0.000392786
340,50,0.000535311
329,50,0.000867058
336,50,0.000537719
325,45,0.000520153
346,45,0.000588391
341,45,0.000382584
329,45,0.00039002
330,40,0.0004448
327,40,0.000373294
336,40,0.000440599
343,40,0.000385676
340,40,0.00043081
332,40,0.000425904
336,34,0.000518093
341,41,0.000382772
329,41,0.000379652
327,41,0.000361819
342,41,0.000365237
331,25,0.00112239
