distribution:  CLEAR
sun elevation: 45
sun azimuth:   335
sample points: 500

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)
343,27,0.00154459
323,30,0.000821774
350,32,0.00153779
319,35,0.00156204
337,28,0.00066996
353,40,0.00165689
318,41,0.00147277
353,47,0.00143397
323,52,0.00116804
342,31,0.000814864
329,30,0.000719232
317,45,0.00187484
343,54,0.0014499
334,55,0.00144197
324,34,0.000764096
348,51,0.00136023
347,35,0.00072264
346,30,0.000917884
328,54,0.00123227
320,48,0.00112451
339,25,0.00167338
327,27,0.000987572
328,32,0.000643377
351,42,0.000837877
320,38,0.000990846
352,37,0.00109329
335,31,0.000885362
345,32,0.000890694
338,31,0.000747346
334,25,0.000971922
349,40,0.000801522
333,28,0.000693271
340,28,0.00111295
326,30,0.000561384
320,44,0.00120316
331,32,0.000885823
322,41,0.00109542
348,48,0.00114552
338,54,0.00105764
321,32,0.000680216
350,45,0.000999396
323,37,0.00110433
326,35,0.000790086
343,34,0.000789002
322,50,0.00103332
325,51,0.000894988
348,31,0.00119273
345,28,0.000697869
330,52,0.000880945
340,32,0.000783219
319,40,0.000915176
325,31,0.000567902
352,44,0.00129998
335,27,0.000748216
332,27,0.000685232
321,47,0.000963984
351,35,0.00111701
348,38,0.000781581
328,28,0.000685485
340,52,0.00075877
325,28,0.000770947
346,34,0.00074867
344,52,0.000837941
343,30,0.000792502
347,50,0.000604865
344,35,0.000639101
350,41,0.000720022
338,30,0.000596637
322,31,0.000885223
320,34,0.000790328
343,51,0.000616682
346,37,0.000626937
334,30,0.00060076
324,32,0.000579334
328,31,0.000594351
327,34,0.000633437
333,54,0.000785401
332,31,0.000828377
342,9,0.00240225
323,11,0.00191827
354,17,0.00228458
314,21,0.00199564
360,27,0.00178882
334,15,0.00205229
310,30,0.00267223
344,18,0.00168083
3,41,0.00207135
308,38,0.0018795
323,19,0.00188179
352,24,0.00192682
2,34,0.00179866
307,45,0.00193641
311,52,0.00226807
357,55,0.00223737
348,12,0.00166074
323,60,0.00207204
331,9,0.00255253
316,27,0.00208943
338,61,0.00229374
319,15,0.00201467
1,47,0.00199205
328,15,0.00170692
338,19,0.00178348
336,9,0.00265831
357,21,0.00243114
331,19,0.00220954
349,58,0.00259202
340,14,0.00193627
357,31,0.00207381
313,34,0.0020932
320,24,0.00153324
359,38,0.00169882
312,42,0.00189065
347,22,0.00218622
359,51,0.00198119
353,28,0.00206731
327,22,0.00191357
342,22,0.00225733
349,18,0.00158167
318,19,0.00138238
308,34,0.00274346
323,15,0.00172179
313,38,0.00216208
312,25,0.00226801
344,14,0.00131064
311,48,0.00227397
317,57,0.00184209
317,31,0.00217972
331,60,0.00183552
359,42,0.00187605
356,35,0.00198333
348,27,0.00183809
336,22,0.00195193
354,52,0.00190893
356,25,0.00170435
332,12,0.00173015
341,58,0.00186232
352,19,0.00148718
326,18,0.00148027
316,51,0.00150461
342,17,0.00143638
337,17,0.00171088
345,11,0.00150019
347,15,0.00125144
1,30,0.00184249
325,57,0.00157158
319,54,0.00132821
317,22,0.00136236
326,12,0.00155896
316,18,0.0017166
2,37,0.00195744
331,22,0.00151189
324,25,0.00142749
2,44,0.00153256
321,27,0.00148627
308,41,0.00139957
356,48,0.00152077
294,9,0.00458409
16,9,0.00352009
309,1,0.00178118
1,1,0.00180554
293,25,0.00294429
17,25,0.00451618
291,38,0.00414437
19,38,0.00387486
18,51,0.00381555
306,12,0.00266229
5,12,0.00227051
293,51,0.00551033
349,1,0.00156514
320,1,0.00160791
7,64,0.00412652
300,61,0.00401821
328,70,0.0034783
301,21,0.00252925
333,1,0.00167595
7,21,0.00199053
9,4,0.00334915
314,8,0.0031262
300,4,0.00372952
356,8,0.00275411
350,68,0.00448588
12,32,0.00216838
299,32,0.00266477
15,18,0.00286968
341,2,0.00267036
295,17,0.00325683
12,44,0.00279074
9,57,0.00387249
296,44,0.00327637
311,65,0.00348941
327,2,0.00241313
303,27,0.00281831
301,54,0.0028888
9,27,0.0025699
307,7,0.00330059
308,18,0.00240104
3,7,0.00251513
350,7,0.00263665
10,12,0.00202905
300,12,0.00209429
292,32,0.00312297
8,51,0.00292196
355,1,0.00170004
315,1,0.00171273
12,38,0.00280364
300,38,0.00273439
320,7,0.0026179
359,15,0.00300962
312,14,0.00304074
300,48,0.00238313
355,63,0.0024574
345,5,0.00237353
308,58,0.00249584
3,22,0.0029777
327,64,0.00225666
353,11,0.00233553
307,22,0.00224767
3,60,0.00183722
17,31,0.00340323
7,31,0.0023188
8,8,0.00189514
335,5,0.0027983
18,45,0.00331197
326,7,0.0024668
303,17,0.00205125
12,22,0.00181571
17,14,0.00307847
297,28,0.00224139
298,8,0.00202893
294,21,0.00302811
9,17,0.00220633
337,67,0.00206468
302,42,0.00178825
0,11,0.00192803
318,11,0.00216082
241,14,0.00241662
59,24,0.00366705
88,8,0.00445491
256,38,0.00344211
214,11,0.00411715
268,17,0.00381378
54,47,0.00384192
40,11,0.00541557
255,61,0.00388314
108,12,0.00402425
68,5,0.00467382
57,68,0.00317727
32,87,0.00334724
39,30,0.0049563
160,15,0.00358186
190,14,0.00357803
143,15,0.00289665
229,2,0.00227259
279,4,0.00413593
272,75,0.00350909
123,14,0.00340493
273,31,0.0034607
255,8,0.00451449
253,24,0.0027119
175,14,0.00350043
270,48,0.00474259
54,11,0.00584163
29,2,0.00400986
38,57,0.00424324
36,42,0.00547377
30,19,0.00612896
281,18,0.005202
201,8,0.00619619
76,14,0.00353349
52,34,0.0044962
266,4,0.00414294
23,75,0.00534607
47,21,0.00446992
278,58,0.00514789
109,1,0.00214107
224,12,0.00290661
151,9,0.00337589
78,4,0.00319102
134,9,0.00448566
240,2,0.00232263
99,7,0.00430228
65,15,0.00397089
219,2,0.00296196
320,80,0.0041455
262,30,0.00385763
278,40,0.00496218
256,51,0.003426
117,7,0.00393604
31,65,0.00469581
166,8,0.00442149
29,34,0.00546883
26,11,0.00548491
283,28,0.00466635
188,5,0.00420743
19,1,0.00273706
282,67,0.00417617
54,60,0.0027229
285,9,0.00609154
259,17,0.00356746
250,15,0.00246614
267,38,0.00311222
259,84,0.00326093
272,9,0.00415923
47,7,0.00512231
233,9,0.00275839
144,7,0.00428565
302,73,0.00341374
274,22,0.00365007
246,8,0.00306306
31,50,0.00405736
159,5,0.00360576
39,19,0.00346415
178,7,0.00426959
126,7,0.00350101
133,52,0.00181578
191,50,0.00236345
93,40,0.00220096
223,38,0.0024071
163,38,0.0021728
166,68,0.00259047
119,34,0.00232312
100,60,0.00236521
200,31,0.00250905
214,65,0.00268142
142,34,0.00228924
181,30,0.00261798
73,37,0.00217568
91,24,0.00263385
116,74,0.00217443
231,52,0.00258682
77,51,0.00228576
159,54,0.00186281
237,28,0.00245794
111,47,0.00238462
216,25,0.00265524
106,27,0.00293368
208,44,0.00200312
240,41,0.00320309
132,24,0.00302253
154,27,0.0028216
168,25,0.00395911
204,19,0.00403776
139,64,0.00192925
174,47,0.00188994
74,25,0.00363809
189,61,0.00237526
197,75,0.00325803
147,45,0.00201373
131,41,0.00197629
189,38,0.00231922
116,22,0.00300238
207,55,0.00258829
240,70,0.0033869
227,22,0.00216885
83,67,0.00233108
96,50,0.00250148
191,24,0.00293143
107,37,0.00235659
77,77,0.0032432
84,32,0.00259285
99,17,0.00339865
120,60,0.00223601
155,81,0.00264696
211,34,0.0023571
247,32,0.00287423
62,40,0.00229221
183,19,0.00280352
85,17,0.0030572
234,61,0.00257232
220,47,0.00215125
144,24,0.00237923
176,38,0.0020677
177,55,0.00187563
152,37,0.00185499
130,32,0.00174542
71,60,0.00238508
96,31,0.0020937
81,42,0.00205518
151,18,0.00229959
64,31,0.00257036
123,47,0.00183239
62,52,0.002103
244,22,0.0023048
146,57,0.00159645
244,48,0.00266292
146,73,0.0016942
227,31,0.00230019
69,45,0.00181563
200,40,0.00172909
159,45,0.00147735
219,18,0.00218964
105,67,0.00174714
235,19,0.00225263
123,27,0.00175112
